seq	kingdom	phylum	class	order	family	genus	species
seq_6507	1.00	0.82	0.82	0.43	0.42	0.06	0.06
seq_6512	0	NA	NA	NA	NA	NA	NA
seq_6510	1.00	0.97	0.79	0.47	0.07	0.07	0.05
seq_6511	1.00	0.73	0.73	0.17	0.17	0.07	0.03
seq_6519	1.00	0.60	0.16	0.07	0.01	0.01	0.01
seq_6516	1.00	0.45	0.45	0.24	0.24	0.07	0.07
seq_6520	1.00	1.00	1.00	0.96	0.96	0.96	0.86
seq_6521	1.00	0.02	0.01	0.01	0.01	0.01	0.01
seq_6515	1.00	0.03	0.03	0.03	0.01	0.01	0.01
seq_6522	0	NA	NA	NA	NA	NA	NA
seq_6523	1.00	0.98	0.13	0.06	0.06	0.06	0.01
seq_6525	1.00	0.97	0.59	0.23	0.14	0.14	0.14
seq_6532	1.00	0.61	0.29	0.25	0.25	0.25	0.06
seq_6529	1.00	0.76	0.35	0.29	0.03	0.01	0.01
seq_6530	1.00	0.45	0.22	0.21	0.15	0.08	0.08
seq_6531	1.00	0.68	0.55	0.24	0.09	0.01	0.01
seq_6534	1.00	0.65	0.21	0.04	0.04	0.04	0.03
seq_6533	1.00	0.58	0.58	0.22	0.22	0.17	0.08
seq_6536	1.00	0.95	0.52	0.23	0.07	0.07	0.04
seq_6535	1.00	1.00	0.85	0.82	0.69	0.55	0.55
seq_6538	1.00	0.92	0.48	0.02	0.02	0.02	0.02
seq_6540	1.00	0.87	0.12	0.04	0.04	0.04	0.04
seq_6539	1.00	0.43	0.43	0.33	0.07	0.07	0.01
seq_6537	1.00	0.90	0.90	0.38	0.06	0.06	0.06
seq_6543	1.00	0.68	0.07	0.04	0.04	0.04	0.04
seq_6545	1.00	0.98	0.21	0.16	0.07	0.04	0.04
seq_6542	1.00	0.12	0.12	0.05	0.05	0.01	0.01
seq_6544	1.00	0.28	0.28	0.28	0.28	0.25	0.18
seq_6552	0	NA	NA	NA	NA	NA	NA
seq_6547	1.00	0.94	0.30	0.22	0.17	0.03	0.03
seq_6549	0	NA	NA	NA	NA	NA	NA
seq_6546	1.00	0.37	0.37	0.01	0.01	0.01	0.01
seq_6556	1.00	0.86	0.43	0.07	0.03	0.03	0.01
seq_6554	1.00	0.88	0.69	0.69	0.69	0.53	0.53
seq_6555	1.00	0.81	0.81	0.41	0.05	0.05	0.01
